id_str,created_at,full_text(utf-8)
1309551748219101184,2020-09-25 17:54:01,b'RT @ItsTaell: hi https://t.co/xQqPb92qMj'
1309551748214784001,2020-09-25 17:54:01,b'RT @Shamma91865811: K:dekh liya aur maan bhi liya aap hi meri \xf0\x9f\xa6\x81 ho aur world ki sabse strongest mumma \xf0\x9f\xa4\x97\nN:bilkul aur tum world ke sabse bud\xe2\x80\xa6'
1309551747581476865,2020-09-25 17:54:01,"b'RT @vpartal: Valls fa ballar Colau i el PSC, i l\xe2\x80\x99independentisme hi cau de quatre potes https://t.co/MeAWTnMCiB'"
1309551747535310849,2020-09-25 17:54:01,b'RT @901O0: @cupidsarc hi cutie'
1309551747141185536,2020-09-25 17:54:01,"b'RT @MrAndyNgo: Hi Mr Ross. Sure, we can take this public\xe2\x80\x94I\xe2\x80\x99m still awaiting your answers. \n\nWhy is a Portland State instructor providing ra\xe2\x80\xa6'"
1309551746876932097,2020-09-25 17:54:01,"b'RT @zaravisuals: Hi Twitter! \n\nMy name is Zara, I am black female photographer. If you like my work, please share! A simple RT could introd\xe2\x80\xa6'"
1309551746755170304,2020-09-25 17:54:01,b'@Nicooooo_P hi lods \xf0\x9f\xa5\xba https://t.co/eMLjp1JPfM'
1309551746625220620,2020-09-25 17:54:01,"b""@gypsythatremain Hi my dear! Please don't be sad \xe2\x9d\xa4"""
1309551745203408897,2020-09-25 17:54:01,b'@deathchan11 hi'
1309551744494571523,2020-09-25 17:54:00,"b'@collins_mcadory Hi Collins, We are sorry to hear this happened. Please visit your nearest Tiffany store or send your ring to our repairs department for evaluation. For more information visit: https://t.co/TlK9WmbpeG.'"
1309551744045780994,2020-09-25 17:54:00,"b""RT @chandler3x: Hi, Who's still awake? Can you give me a shout out And a Retweet. So Eager to get over 10K FOLLOWER'S. Thanks"""
1309551743877943296,2020-09-25 17:54:00,"b'Hi @Now1005FM, I would love to hear #HOLY\xc2\xa0\xc2\xa0 by @justinbieber on your station! Thank u so much'"
1309551743219376128,2020-09-25 17:54:00,b'@BeingRadhika8 Pata nai par aisa hi hua he\xf0\x9f\x98\xb0'
1309551742787358720,2020-09-25 17:54:00,b'RT @kenmasarmpit: hi can we normalize not making fun of ppl with mental illnesses for not showering or performing basic hygiene? its extrem\xe2\x80\xa6'
