date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-02 14:20:00,JoeBiden,,5389,11095,38693,"Donald Trump is determined to instill fear and divide us, but what he doesn't understand is that fear never builds the future — hope does.",,,,1301162966255980545,https://twitter.com/JoeBiden/status/1301162966255980545
2020-09-01 23:34:00,JoeBiden,,4868,7339,23597,"For far too long, discriminatory policies like redlining have kept Black Americans from having the same opportunities as white Americans. That’s got to change: http://JoeBiden.com/Housing",,,,1300939997059493888,https://twitter.com/JoeBiden/status/1300939997059493888
2020-09-01 22:14:00,JoeBiden,thomaskaplan,4973,13798,64678,"If I’m elected president, I promise you that America will be better prepared to deal with any threats that come our way. That starts with restoring the PREDICT program that President Trump ended.",,,,1300919864295436288,https://twitter.com/JoeBiden/status/1300919864295436288
2020-09-01 20:21:00,JoeBiden,,4326,7127,35762,"Together, we’re going to build back better than before and set our nation on a new path.",,,,1300891426876612608,https://twitter.com/JoeBiden/status/1300891426876612608
2020-09-01 18:48:00,JoeBiden,,1962,6947,48263,".@DrBiden and I send our best wishes to members of the Jain faith concluding the holy observance of Paryushan and Das Lakshan. May we all find peace and reconciliation in our lives. Michhami Dukkaddam and Kshamavani!",,@DrBiden,,1300868022740156417,https://twitter.com/JoeBiden/status/1300868022740156417
2020-09-01 17:08:00,JoeBiden,,6362,10118,48936,"We need a president who will lower the temperature and bring the country together — not one who raises it and tears us further apart.",,,,1300842856974819328,https://twitter.com/JoeBiden/status/1300842856974819328
2020-09-01 15:03:59,JoeBiden,,2229,4076,13342,"Our nation is at an inflection point. @KamalaHarris and I sat down to discuss what brought us to this moment — and how we move forward and build back better than before. Tune in to watch:",,@KamalaHarris,,1300811647200579589,https://twitter.com/JoeBiden/status/1300811647200579589
2020-09-01 14:34:00,JoeBiden,,3255,10030,49325,"Across the country, people rely on public transportation to get to work, see loved ones, and access essential services. But that's all under threat because Republicans refuse to do their jobs. Congress must act now to save public transit.",,,,1300804101677015042,https://twitter.com/JoeBiden/status/1300804101677015042
2020-09-01 01:40:00,JoeBiden,,5902,14485,45765,"Today’s press conference made it clear: we are all less safe because Donald Trump has failed at his job. We need a President who will stop violence — not incite it.",,,,1300609317872295936,https://twitter.com/JoeBiden/status/1300609317872295936
2020-09-01 01:30:00,JoeBiden,,627,2753,17612,"President Shri Pranab Mukherjee was a devout public servant who believed deeply in the importance of our two nations tackling global challenges together. Jill and I are saddened to hear of his passing — our prayers go out to his loved ones and the Indian people.",,,,1300606801356959744,https://twitter.com/JoeBiden/status/1300606801356959744
